feature,importance_score
"4-(3,4-dihydro-2H-1,5-benzodioxepin-7-ylamino)-4-oxobutanoic acid",2.0584183143726413
DPK,2.0561957175109575
4-Hydroxytamoxifen,2.056123815848641
N-Acetylhistamine,2.0550865170280073
Prostaglandin D2,2.0547505357513236
FAHFA (6:0/24:2),2.0539120989548163
"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-methyl-1,3,4-oxadiazole",2.0537461628678577
"ethyl 3-[3,5-di(trifluoromethyl)anilino]-2-nitroacrylate",2.0537266989882252
Hydroxyprogesterone caproate,2.0514812443635195
GMK,2.050437584846075
Monobenzyl phthalate,2.049823557687542
"4-[1-(dimethylamino)ethylidene]-2-phenyl-1,3-oxazol-5(4H)-one",2.049736895503146
1-(4-bromophenyl)-2-phenylethan-1-one,2.04802508664027
Stachyose,2.0428110948298444
Catechin,2.042516244002236
Thymidine 5'-diphosphate,2.0420238755146265
4-chloro-1H-indazol-3-amine,2.037753827780943
"1,7-Dimethyluric acid",2.036866452807993
Anserine,2.0362383805006306
Genipin,2.035616717601652
6α-Naloxol,2.034645680158025
ACar 13:0,2.0341936303046615
DL-α-Aminocaprylic acid,2.0338639606863196
Docosapentaenoic acid,2.032670069322638
ethyl 2-{[(hexylamino)carbonyl]amino}-3-phenylpropanoate,2.031543191551729
"(3beta,9xi)-3-(beta-D-Glucopyranosyloxy)-14-hydroxycard-20(22)-enolide",2.0296923866855083
3-(4-Hydroxyphenyl)propionic acid,2.02785851626512
6-Methylquinoline,2.0270924698566493
alprazolam-d5,2.026269482050011
2-Ethylhexanoic acid,2.023974015777079
4-Hydroxyglucobrassicin,2.0183217920799987
"4-(4,5-dihydro-1H-imidazol-2-yl)-2,6-dimethylmorpholine hydrobromide",2.0166759352657277
Soyasaponin I,2.015929428656744
"2-Amino-1,3-octadecanediol",2.0129084398629615
N-Acetyldopamine,2.012818004951294
6β-Oxycodol N-oxide,2.012210744251683
"5-acetyl-2,6-dimethyl-1,2,3,4-tetrahydropyridin-4-one",2.0102818996046734
Glycocholic acid,2.0091625921088667
"1-{[5-(4-chlorophenyl)-4H-1,2,4-triazol-3-yl]thio}acetone",2.008773422732375
"1,3-dipyridin-3-ylpropane-1,3-dione",2.0063096627170367
N6-Succinyl Adenosine,2.0049507540825275
"3,5-di(2-furylmethylidene)tetrahydro-2H-pyran-4-one",2.0038555594489154
Stearic acid,2.002724971149229
N-Glycolylneuraminic acid,2.001445373421216
Caffeine,1.9996523505281867
Acetyl-N-formyl-5-methoxykynurenamine,1.9991383126731552
2-furyl[4-(1H-indol-4-yl)piperazino]methanone,1.9970976640895994
KPK,1.9968626288339302
7-Ketocholesterol,1.9956103496586814
"4-{3-[(3,4-dihydroxyphenyl)methyl]-2-methylbutyl}benzene-1,2-diol",1.9945365329041416
ACar 16:1,1.9925393358786232
"13,14-dihydro-15-keto-PGD2",1.9920907666810388
HNH,1.9913328231365681
"13,14-dihydro-15-keto-tetranor Prostaglandin D2",1.9908921162525186
"4-(1-adamantyl)-2-methyl-1,3-thiazole",1.9870725779589997
Thiamine,1.9870130096391148
4-chloro-2-(1H-pyrazol-3-yl)phenol,1.9866777282008663
5-Dehydroquinic acid,1.9849361100754903
tetranor-PGDM,1.9836375516438247
"1-(1,8-dihydroxy-3,6-dimethyl-2-naphthyl)ethan-1-one",1.9821531498316962
"13,14-Dihydro-15-keto-tetranor prostaglandin F1α",1.9806314393491644
"1-[2-(2,5-dimethyl-1H-pyrrol-1-yl)-4-nitrophenyl]-1H-imidazole",1.9790012472779335
"16-Heptadecyne-1,2,4-triol",1.9777584084801585
gamma-Glutamylmethionine,1.9746128507685294
2'-Deoxyadenosine,1.973440753457878
1H-indol-3-yl(pyridin-2-yl)methanol,1.9680856273329015
ethyl 1-(4-acetyl-2-aminophenyl)piperidine-4-carboxylate,1.9669693713039547
ACar 18:1,1.9657258057301221
17α-Hydroxypregnenolone,1.963890016551151
"N-(2-chloro-6-methylphenyl)-N'-(1,2-diphenylethyl)thiourea",1.9637420012160387
Deoxyribose 5-Phosphate,1.9623412894228363
"N3,N4-Dimethyl-L-arginine",1.9617738006914838
4-Methylphenol,1.9608765879692895
N1-[2-oxo-6-(1H-pyrrol-1-yl)-2H-chromen-3-yl]acetamide,1.9568673415968416
"methyl 1-isopropyl-1H-1,2,3-benzotriazole-5-carboxylate",1.956824476716183
Nonadecanoic acid,1.9562053378852673
"6,8-di(tert-butyl)-4-oxo-4H-chromene-2-carboxylic acid",1.9555142055961778
(±)12(13)-DiHOME,1.9533484042840228
"(1α,2α,3β,5ξ,9ξ,18ξ)-1,2,3,19-Tetrahydroxyurs-12-en-28-oic acid",1.950400496248719
(+/-)9(10)-EpOME,1.9500233946038392
D-Sedoheptulose 7-phosphate,1.9484328701681717
"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",1.9473537960584322
"5-amino-1-(4-chlorobenzyl)-1H-1,2,3-triazole-4-carboxamide",1.9466710780557492
PC (14:0e/2:0),1.94486270653477
Flavin mononucleotide (FMN),1.9424348661687318
Docosatrienoic acid,1.9409536310037867
Cholic acid,1.9397872358029322
4-(2-((4-Cyanophenyl)amino)oxazol-5-yl)benzonitrile,1.9390702190085558
6-(3-hydroxybutan-2-yl)-5-(hydroxymethyl)-4-methoxy-2H-pyran-2-one,1.9379031483995772
R-1 Methanandamide phosphate,1.9375246080943123
"2-(acetyloxy)-3-amino-1-[1,2-di(acetyloxy)ethyl]-3-oxopropyl acetate",1.9373303555395602
Prolylleucine,1.9365268889863045
"8Z,11Z,14Z-Eicosatrienoic acid",1.9361321468627621
Salvianolic acid A,1.9321014634497617
Benzoylecgonine,1.9310217927560904
Pilocarpine,1.9307056048180868
4-[(2-cyclohex-1-enylethyl)amino]-2H-chromen-2-one,1.9288568174741163
ω-Hydroxynorfentanyl,1.9286502279827331
3-hydroxy-4-methoxy-9H-xanthen-9-one,1.9284684523204163
"5-chloro-2,8-dimethyl-4-[(3-nitro-2-pyridyl)oxy]quinoline",1.9282140636908238
Cucurbitacin I 2-O-β-D-glucopyranoside,1.9272513983124575
cholesteryl sulfate,1.9258170439477236
3-Acetyl-11-keto-β-boswellic acid,1.9257707401448498
Deoxycholic acid,1.9257343576994326
"7-(4-methylpiperazino)pyrimido[4,5-d]pyrimidine-2,4(1H,3H)-dithione",1.9254648889708936
11-keto Testosterone (CRM),1.9246395009617956
Debromohymenialdisine,1.923200922410185
Glycoursodeoxycholic acid,1.9225020885947046
Isorhapontigenin,1.9214968160922417
3-Indoxyl sulphate,1.9211935791566617
"5-nitro-2-{[5-(trifluoromethyl)-4H-1,2,4-triazol-3-yl]thio}pyridine",1.921007486967123
Pentadecanoic acid,1.9198519482804608
WKK,1.9198489632929259
