feature,mi_score,data_type,is_target
d__Bacteria|p__Firmicutes|c__Tissierellia|g__Ezakiella|s__Ezakiella massiliensis,0.1709534136247537,Microbiome,False
trans-Petroselinic Acid,0.17030867764178237,Metabolome,False
Diosgenin,0.16841687706190145,Metabolome,False
4-Methylvaleric Acid,0.16830263225957642,Metabolome,False
PC (16:0/17:2),0.16827379791882247,Metabolome,False
2-Hydroxyhippuric acid,0.16782332965643465,Metabolome,False
Cer-NS (d18:2/14:0),0.16570333853644348,Metabolome,False
"5-ethoxy-2-[(2,3,4,5,6-pentafluorobenzyl)thio]-1H-benzo[d]imidazole",0.16563285346595835,Metabolome,False
Monolaurin,0.1651293847124895,Metabolome,False
(+/-)-UR-144 N-(4-Hydroxypentyl) metabolite,0.1650885562598965,Metabolome,False
3-Hydroxydecanoic acid,0.16489453622764105,Metabolome,False
Heptadecanoic Acid,0.16465546973857492,Metabolome,False
"5-Henicosyl-1,3-benzenediol",0.1643570736901785,Metabolome,False
N1-[2-oxo-6-(1H-pyrrol-1-yl)-2H-chromen-3-yl]acetamide,0.16406372814683312,Metabolome,False
Asp-Phe,0.16377923486233992,Metabolome,False
Sulfoacetic acid,0.16329136162446645,Metabolome,False
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides vulgatus,0.1630621463952513,Microbiome,False
5-Fluoro-2-[(3S)-1-(2-methylbenzyl)-3-pyrrolidinyl]-1H-benzimidazole,0.16305991006948561,Metabolome,False
3-Indoleacrylic acid,0.16255800554126543,Metabolome,False
FAHFA (22:6/18:0),0.1617526225857273,Metabolome,False
Glycochenodeoxycholic acid sodium salt,0.161618478951584,Metabolome,False
15(R)-Lipoxin A4,0.1614654652985701,Metabolome,False
Melanin,0.1614510352841403,Metabolome,False
LPS 17:0,0.1613231374681623,Metabolome,False
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae|g__Mageeibacillus|s__Mageeibacillus indolicus,0.16116842083976124,Microbiome,False
Kanosamine,0.1610527668858719,Metabolome,False
2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid,0.1609899963231014,Metabolome,False
Cer-NS (d18:1/12:0),0.16072801243495638,Metabolome,False
"methyl 2-(2-acetyl-4,5-dimethoxyphenyl)acetate",0.16022664855975344,Metabolome,False
tetranor-PGDM,0.16008833425967461,Metabolome,False
Shikonin,0.15996718580029112,Metabolome,False
Cortodoxone,0.1598179482129729,Metabolome,False
N6-Acetyl-L-lysine,0.15979280462590983,Metabolome,False
(5-L-Glutamyl)-L-Amino Acid,0.1597201550532601,Metabolome,False
Bisphenol A,0.15961214378348387,Metabolome,False
"N2,N2,6-trimethyl-1,3,5-triazine-2,4-diamine",0.1595481522194926,Metabolome,False
Pyridoxine O-Glucoside,0.15886301219611743,Metabolome,False
SLH,0.15816819883953892,Metabolome,False
Protoporphyrin IX,0.15811026494336988,Metabolome,False
"2-(1,3-dimethyl-1H-pyrazol-5-yl)-1H-isoindole-1,3(2H)-dione",0.1575169179738618,Metabolome,False
Licochalcone A,0.15745897179207646,Metabolome,False
3-(4-acetylanilino)-1-(4-fluorophenyl)prop-2-en-1-one,0.15704532987843467,Metabolome,False
FAHFA (3:0/18:0),0.1566583834914883,Metabolome,False
PE (9:0/9:0),0.1564408624504381,Metabolome,False
11-Deoxy prostaglandin F1α,0.15566582049892563,Metabolome,False
8-Hydroxyquinoline,0.1554907178238225,Metabolome,False
L-Cystine,0.15531364489675004,Metabolome,False
Eriodictyol,0.1544435982767034,Metabolome,False
"2-[(3S)-1-(2-Chlorobenzyl)-3-pyrrolidinyl]-5-methyl-1,3,4-oxadiazole",0.1536023284354333,Metabolome,False
Lysopc 14:0,0.15354555187865704,Metabolome,False
Valeric acid,0.1533429489260536,Metabolome,False
KNH,0.15325623008933498,Metabolome,False
Meperidine-d5,0.15320757002906515,Metabolome,False
FAHFA (4:0/24:4),0.15310254227388254,Metabolome,False
Hypoglycin A,0.15309172792483272,Metabolome,False
Coenzyme Q2,0.15299627344362676,Metabolome,False
Hydroxyproline,0.15272809156119638,Metabolome,False
MGDG (16:3/18:3),0.15249721133031624,Metabolome,False
Monobutyl phthalate,0.1523550756881804,Metabolome,False
4-Hydroxyalprazolam,0.15117209200519688,Metabolome,False
Cyclohexaneacetic acid,0.1510208286658532,Metabolome,False
L-Saccharopine,0.15089475822786325,Metabolome,False
N-(4-chlorophenyl)-5-hex-1-ynylnicotinamide,0.15079064012374488,Metabolome,False
Harmine,0.1506008854339902,Metabolome,False
Monobenzyl phthalate,0.14974374257684775,Metabolome,False
Sinapinic acid,0.14896380356161454,Metabolome,False
4'-Methoxy-α-ethylaminovalerophenone,0.1484962205770035,Metabolome,False
"ethyl 4-amino-2-(methylsulfanyl)-1,3-thiazole-5-carboxylate",0.1484513127844176,Metabolome,False
17α-Hydroxyprogesterone,0.1484108193940794,Metabolome,False
11-dehydro Thromboxane B2,0.14835965650468097,Metabolome,False
JNJ-1661010,0.14804380362690872,Metabolome,False
"2,6-Di-tert-butyl-1,4-benzoquinone",0.14792650838345245,Metabolome,False
"pentane-1,2,3,4,5-pentol",0.1478700052031101,Metabolome,False
SMH,0.14776560959871432,Metabolome,False
