,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Rutin,-0.00023094028825037114,0.02340361911522783,-0.026301500981607273,0.029345529397342262,0.025959166635832132,0.014085258575928112,0.028870078269356014,-0.01352705361097655,0.01928561295853541,-0.008972838088058077
Kaempferol,-0.020767783701865532,0.03006909392435341,0.0009954865496482727,0.0009524666361282212,0.007077396819860863,0.04140057490451318,0.015059004247438033,-0.0037234857115036636,0.0158793872841739,-0.01341401768788972
Formononetin,-0.007786507163537888,0.030942863184069816,0.032604814582579,-0.03723577625550836,0.016412210013209104,0.034272563830812675,-0.002607836419619186,-0.00010778322533928289,-0.0007488042572886135,-0.017301950732126162
Histamine,-0.004911474737071201,0.013463636193268609,0.011771831042802192,0.024649862528094892,-0.003683159690818441,0.013229397902796583,-0.016452618908892314,-0.035200132028546334,0.06847397866825289,0.054123429318672735
Taurocholic acid,-0.004953848016475512,0.0370036582511802,-0.028504683009342266,0.006557718206391556,0.011139078009098755,-0.007258765234272367,0.05057240875867817,-0.040024744744119246,0.012484058216985113,0.004172018213470181
Creatinine,-0.02020207453539766,0.033585799327112885,-0.013156936427948547,0.01876553563854471,-0.01907532033630131,-0.0025840210201237617,-0.0035780341473061372,0.0127417416916493,0.03542591339271723,-0.05234590811643673
Glycitein,-0.02651659440392937,0.0319640972946989,-0.01427828338282058,-0.005132080972225802,-0.004931441503075475,0.02629017685060092,-0.017462675375074947,0.0034724999650077156,-0.001241073653047689,0.0219455945391129
α-Aspartylphenylalanine,-0.024294009018075633,0.027553198810299103,0.011738251143750192,0.02673495889927395,-0.015637716066310946,-0.026886063593795757,0.030304097242790113,0.025347817026257644,-0.0020633702129831248,-0.026859435971754844
Flavin mononucleotide (FMN),0.01805093718025323,0.014482272197364653,-0.029352633613512622,-0.009191268710489866,-0.03549741817890622,0.015824921831154908,-0.01698724899132003,0.011455182447555178,0.028034365341807116,-0.013515106643089601
Salsolinol,-0.003864944751829609,0.0074187009820373675,-0.010644931754204433,0.03471785435991343,-0.009726681258491587,-0.003027078254149935,-0.04451335860434012,0.01700096647904047,0.04325727538399417,-0.031997856372504435
Guanine,0.0016294951921320797,0.002504919929971705,0.029534129093452537,0.015155391104343077,0.02022182012288281,0.010029428005758961,0.009978458762147212,0.05785068864502522,-0.01934281016198945,0.02289702889461048
DL-Tryptophan,-0.0250776701582055,0.02105187425698351,-0.014825290833538216,0.023125151587094904,0.019296164227593733,-0.027434705601367695,0.011241830624584042,-0.010924523378452901,-0.0009450404116418959,0.028197403862199922
